,name,label,h,s,v,H,H120,H240
3889,Nickel Azo Yellow,63,20.40740740740741,252.82407407407408,254.49074074074073,20.40740740740741,80.4074074074074,140.40740740740742
3890,Nickel Azo Yellow,63,20.40740740740741,252.7314814814815,254.53703703703704,20.40740740740741,80.4074074074074,140.40740740740742
3891,Nickel Azo Yellow,63,20.40740740740741,252.72222222222223,254.52777777777777,20.40740740740741,80.4074074074074,140.40740740740742
3892,Nickel Azo Yellow,63,20.64814814814815,254.24074074074073,253.9537037037037,20.64814814814815,80.64814814814815,140.64814814814815
3893,Nickel Azo Yellow,63,20.65740740740741,254.2314814814815,254.10185185185185,20.65740740740741,80.6574074074074,140.65740740740742
3894,Nickel Azo Yellow,63,20.666666666666668,254.12962962962962,254.24074074074073,20.666666666666668,80.66666666666667,140.66666666666666
3895,Nickel Azo Yellow,63,20.675925925925927,253.97222222222223,254.47222222222223,20.675925925925927,80.67592592592592,140.67592592592592
3896,Nickel Azo Yellow,63,20.694444444444443,253.88888888888889,254.5185185185185,20.694444444444443,80.69444444444444,140.69444444444446
3897,Nickel Azo Yellow,63,20.675925925925927,253.75925925925927,254.4351851851852,20.675925925925927,80.67592592592592,140.67592592592592
3898,Nickel Azo Yellow,63,20.675925925925927,253.85185185185185,254.39814814814815,20.675925925925927,80.67592592592592,140.67592592592592
3899,Nickel Azo Yellow,63,20.694444444444443,253.85185185185185,254.35185185185185,20.694444444444443,80.69444444444444,140.69444444444446
3900,Nickel Azo Yellow,63,20.703703703703702,253.59259259259258,254.64814814814815,20.703703703703702,80.7037037037037,140.7037037037037
3901,Nickel Azo Yellow,63,20.703703703703702,253.59259259259258,254.6851851851852,20.703703703703702,80.7037037037037,140.7037037037037
3902,Nickel Azo Yellow,63,20.703703703703702,253.59259259259258,254.6851851851852,20.703703703703702,80.7037037037037,140.7037037037037
3903,Nickel Azo Yellow,63,20.703703703703702,253.53703703703704,254.72222222222223,20.703703703703702,80.7037037037037,140.7037037037037
3904,Nickel Azo Yellow,63,20.703703703703702,253.40740740740742,254.72222222222223,20.703703703703702,80.7037037037037,140.7037037037037
3905,Nickel Azo Yellow,63,20.74074074074074,253.35185185185185,254.72222222222223,20.74074074074074,80.74074074074073,140.74074074074073
3906,Yellow Ochre,64,18.796296296296298,251.80555555555554,250.6851851851852,18.796296296296298,78.7962962962963,138.7962962962963
3907,Yellow Ochre,64,18.833333333333332,251.55555555555554,251.53703703703704,18.833333333333332,78.83333333333333,138.83333333333334
3908,Yellow Ochre,64,18.62037037037037,252.08333333333334,250.16666666666666,18.62037037037037,78.62037037037037,138.62037037037038
3909,Yellow Ochre,64,18.75925925925926,250.16666666666666,252.19444444444446,18.75925925925926,78.75925925925927,138.75925925925927
3910,Yellow Ochre,64,18.73148148148148,250.47222222222223,251.4351851851852,18.73148148148148,78.73148148148148,138.73148148148147
3911,Yellow Ochre,64,18.63888888888889,252.52777777777777,248.32407407407408,18.63888888888889,78.63888888888889,138.63888888888889
3912,Yellow Ochre,64,18.787037037037038,252.09259259259258,249.9814814814815,18.787037037037038,78.78703703703704,138.78703703703704
3913,Yellow Ochre,64,18.77777777777778,251.14814814814815,250.16666666666666,18.77777777777778,78.77777777777777,138.77777777777777
3914,Yellow Ochre,64,18.85185185185185,251.5185185185185,249.27777777777777,18.85185185185185,78.85185185185185,138.85185185185185
3915,Yellow Ochre,64,18.916666666666668,249.60185185185185,252.08333333333334,18.916666666666668,78.91666666666667,138.91666666666666
3916,Yellow Ochre,64,18.90740740740741,249.89814814814815,251.6851851851852,18.90740740740741,78.9074074074074,138.90740740740742
3917,Yellow Ochre,64,18.935185185185187,250.52777777777777,250.39814814814815,18.935185185185187,78.93518518518519,138.9351851851852
3918,Yellow Ochre,64,19.046296296296298,250.7962962962963,250.27777777777777,19.046296296296298,79.0462962962963,139.0462962962963
3919,Yellow Ochre,64,19.25,249.91666666666666,251.49074074074073,19.25,79.25,139.25
3920,Yellow Ochre,64,19.185185185185187,250.7962962962963,250.91666666666666,19.185185185185187,79.18518518518519,139.1851851851852
3921,Yellow Ochre,64,19.26851851851852,250.80555555555554,250.37962962962962,19.26851851851852,79.26851851851852,139.26851851851853
3922,Yellow Ochre,64,19.175925925925927,249.75,250.90740740740742,19.175925925925927,79.17592592592592,139.17592592592592
3923,Yellow Ochre,64,19.203703703703702,250.62962962962962,251.05555555555554,19.203703703703702,79.2037037037037,139.2037037037037
3924,Yellow Ochre,64,19.24074074074074,249.50925925925927,251.87037037037038,19.24074074074074,79.24074074074073,139.24074074074073
3925,Yellow Ochre,64,19.23148148148148,250.03703703703704,251.53703703703704,19.23148148148148,79.23148148148148,139.23148148148147
3926,Yellow Ochre,64,19.23148148148148,250.33333333333334,251.14814814814815,19.23148148148148,79.23148148148148,139.23148148148147
3927,Yellow Ochre,64,19.212962962962962,249.86111111111111,251.72222222222223,19.212962962962962,79.21296296296296,139.21296296296296
3928,Yellow Ochre,64,19.24074074074074,250.5462962962963,250.83333333333334,19.24074074074074,79.24074074074073,139.24074074074073
3929,Yellow Ochre,64,19.194444444444443,250.78703703703704,249.82407407407408,19.194444444444443,79.19444444444444,139.19444444444446
3930,Yellow Ochre,64,19.36111111111111,249.62962962962962,250.96296296296296,19.36111111111111,79.36111111111111,139.36111111111111
3931,Yellow Ochre,64,19.35185185185185,250.33333333333334,250.7685185185185,19.35185185185185,79.35185185185185,139.35185185185185
3932,Yellow Ochre,64,19.47222222222222,249.90740740740742,250.35185185185185,19.47222222222222,79.47222222222223,139.47222222222223
3933,Yellow Ochre,64,19.49074074074074,249.82407407407408,250.6851851851852,19.49074074074074,79.49074074074073,139.49074074074073
3934,Yellow Ochre,64,19.462962962962962,249.47222222222223,250.89814814814815,19.462962962962962,79.46296296296296,139.46296296296296
3935,Yellow Ochre,64,19.453703703703702,249.0,251.2685185185185,19.453703703703702,79.4537037037037,139.4537037037037
3936,Yellow Ochre,64,19.453703703703702,249.0185185185185,251.30555555555554,19.453703703703702,79.4537037037037,139.4537037037037
3937,Yellow Ochre,64,19.537037037037038,249.8148148148148,250.21296296296296,19.537037037037038,79.53703703703704,139.53703703703704
3938,Yellow Ochre,64,19.5,248.2037037037037,250.88888888888889,19.5,79.5,139.5
3939,Yellow Ochre,64,19.462962962962962,248.15740740740742,251.0648148148148,19.462962962962962,79.46296296296296,139.46296296296296
3940,Yellow Ochre,64,19.62037037037037,248.0185185185185,250.85185185185185,19.62037037037037,79.62037037037037,139.62037037037038
3941,Yellow Ochre,64,19.666666666666668,247.27777777777777,251.40740740740742,19.666666666666668,79.66666666666667,139.66666666666666
3942,Yellow Ochre,64,19.61111111111111,247.55555555555554,250.9351851851852,19.61111111111111,79.61111111111111,139.61111111111111
3943,Yellow Ochre,64,19.666666666666668,247.55555555555554,250.7685185185185,19.666666666666668,79.66666666666667,139.66666666666666
3944,Yellow Ochre,64,19.84259259259259,246.82407407407408,251.27777777777777,19.84259259259259,79.8425925925926,139.84259259259258
3945,Yellow Ochre,64,19.85185185185185,248.34259259259258,249.34259259259258,19.85185185185185,79.85185185185185,139.85185185185185
3946,Yellow Ochre,64,19.824074074074073,247.15740740740742,250.03703703703704,19.824074074074073,79.82407407407408,139.82407407407408
3947,Yellow Ochre,64,19.805555555555557,247.2685185185185,250.17592592592592,19.805555555555557,79.80555555555556,139.80555555555554
3948,Yellow Ochre,64,19.75,246.96296296296296,250.37037037037038,19.75,79.75,139.75
3949,Yellow Ochre,64,19.77777777777778,247.08333333333334,250.25,19.77777777777778,79.77777777777777,139.77777777777777
3950,Yellow Ochre,64,19.73148148148148,247.02777777777777,250.60185185185185,19.73148148148148,79.73148148148148,139.73148148148147
3951,Yellow Ochre,64,19.703703703703702,246.83333333333334,250.69444444444446,19.703703703703702,79.7037037037037,139.7037037037037
3952,Yellow Ochre,64,19.666666666666668,246.65740740740742,250.85185185185185,19.666666666666668,79.66666666666667,139.66666666666666
3953,Yellow Ochre,64,19.685185185185187,246.32407407407408,250.37962962962962,19.685185185185187,79.68518518518519,139.6851851851852
3954,Yellow Ochre,64,19.675925925925927,245.2962962962963,250.49074074074073,19.675925925925927,79.67592592592592,139.67592592592592
3955,Yellow Ochre,64,19.65740740740741,244.61111111111111,251.35185185185185,19.65740740740741,79.6574074074074,139.65740740740742
3956,Yellow Ochre,64,19.805555555555557,245.2037037037037,250.55555555555554,19.805555555555557,79.80555555555556,139.80555555555554
3957,Yellow Ochre,64,19.833333333333332,244.88888888888889,251.09259259259258,19.833333333333332,79.83333333333333,139.83333333333334
3958,Yellow Ochre,64,19.84259259259259,245.7037037037037,250.28703703703704,19.84259259259259,79.8425925925926,139.84259259259258
3959,Yellow Ochre,64,19.84259259259259,246.09259259259258,250.37962962962962,19.84259259259259,79.8425925925926,139.84259259259258
3960,Yellow Ochre,64,19.88888888888889,243.92592592592592,251.86111111111111,19.88888888888889,79.88888888888889,139.88888888888889
3961,Yellow Ochre,64,19.89814814814815,245.10185185185185,250.5648148148148,19.89814814814815,79.89814814814815,139.89814814814815
3962,Yellow Ochre,64,19.814814814814813,244.96296296296296,250.8148148148148,19.814814814814813,79.81481481481481,139.8148148148148
3963,Yellow Ochre,64,19.787037037037038,245.67592592592592,250.71296296296296,19.787037037037038,79.78703703703704,139.78703703703704
3964,Yellow Ochre,64,19.824074074074073,245.09259259259258,250.17592592592592,19.824074074074073,79.82407407407408,139.82407407407408
3965,Yellow Ochre,64,19.87962962962963,242.37037037037038,252.2314814814815,19.87962962962963,79.87962962962963,139.87962962962962
3966,Yellow Ochre,64,19.787037037037038,242.96296296296296,252.0648148148148,19.787037037037038,79.78703703703704,139.78703703703704
3967,Yellow Ochre,64,19.77777777777778,244.69444444444446,250.0185185185185,19.77777777777778,79.77777777777777,139.77777777777777
3968,Raw Sienna,65,15.75,250.0185185185185,242.7037037037037,15.75,75.75,135.75
3969,Raw Sienna,65,15.777777777777779,250.9814814814815,242.37037037037038,15.777777777777779,75.77777777777777,135.77777777777777
3970,Raw Sienna,65,15.814814814814815,251.49074074074073,241.87037037037038,15.814814814814815,75.81481481481481,135.8148148148148
3971,Raw Sienna,65,15.833333333333334,251.0185185185185,242.55555555555554,15.833333333333334,75.83333333333333,135.83333333333334
3972,Raw Sienna,65,15.972222222222221,250.1851851851852,243.1851851851852,15.972222222222221,75.97222222222223,135.97222222222223
3973,Raw Sienna,65,16.046296296296298,250.72222222222223,243.33333333333334,16.046296296296298,76.0462962962963,136.0462962962963
3974,Raw Sienna,65,15.972222222222221,250.86111111111111,242.7962962962963,15.972222222222221,75.97222222222223,135.97222222222223
3975,Raw Sienna,65,16.00925925925926,250.7962962962963,244.03703703703704,16.00925925925926,76.00925925925927,136.00925925925927
3976,Raw Sienna,65,16.314814814814813,250.7962962962963,243.50925925925927,16.314814814814813,76.31481481481481,136.3148148148148
3977,Raw Sienna,65,16.425925925925927,251.92592592592592,243.00925925925927,16.425925925925927,76.42592592592592,136.42592592592592
3978,Raw Sienna,65,16.675925925925927,251.36111111111111,243.66666666666666,16.675925925925927,76.67592592592592,136.67592592592592
3979,Raw Sienna,65,16.61111111111111,252.53703703703704,242.19444444444446,16.61111111111111,76.61111111111111,136.61111111111111
3980,Raw Sienna,65,16.75925925925926,251.78703703703704,244.5648148148148,16.75925925925926,76.75925925925927,136.75925925925927
3981,Raw Sienna,65,16.833333333333332,250.14814814814815,246.39814814814815,16.833333333333332,76.83333333333333,136.83333333333334
3982,Raw Sienna,65,16.796296296296298,251.9814814814815,244.14814814814815,16.796296296296298,76.7962962962963,136.7962962962963
